metrica,n,media,mediana,desvio_padrao,minimo,maximo,q25,q75
estrelas,98,33666.3265,26603.0,22893.9741,16882.0,154489.0,20409.25,35430.25
idade_anos,98,9.6972,9.35,3.2797,2.3,16.14,7.5225,12.725
total_releases,98,62.4694,31.0,127.1428,0.0,987.0,0.0,62.25
cbo_mediana,98,3.1837,3.0,1.4738,0.0,6.0,2.0,4.0
dit_mediana,98,1.0204,1.0,0.2479,0.0,2.0,1.0,1.0
lcom_mediana,98,0.6327,0.0,1.7209,0.0,13.0,0.0,1.0
loc_total,98,95126.1633,37277.0,155657.5354,0.0,772133.0,6751.25,99151.5
total_classes,98,2092.3878,672.0,3788.4772,0.0,24751.0,188.25,2001.25
